date_key,year,month,year_month
202401,2024,1,2024-01
202402,2024,2,2024-02
202403,2024,3,2024-03
202404,2024,4,2024-04
202405,2024,5,2024-05
202406,2024,6,2024-06
202407,2024,7,2024-07
202408,2024,8,2024-08
202409,2024,9,2024-09
202410,2024,10,2024-10
202411,2024,11,2024-11
202412,2024,12,2024-12
202501,2025,1,2025-01
202502,2025,2,2025-02
202503,2025,3,2025-03
202504,2025,4,2025-04
202505,2025,5,2025-05
202506,2025,6,2025-06
202507,2025,7,2025-07
202508,2025,8,2025-08
202509,2025,9,2025-09
202510,2025,10,2025-10
202511,2025,11,2025-11
202512,2025,12,2025-12
